RANK,PoS,WORD,TOTAL,SPOKEN,FICTION,MAGAZINE,NEWSPAPER,ACADEMIC
2, V ,be,16711569,4873288,3173845,2989059,2926800,2748577
1, A ,the,23782115,4183469,4531786,4875815,4646517,5544528
3, C ,and,11654439,2347151,2188166,2388111,2130798,2600213
5, A ,a,10999596,2110287,2125067,2496150,2331699,1936393
4, I ,of,11155504,1857279,1630728,2329089,2050072,3288336
7, T ,to,6868227,1666909,1259251,1380223,1308448,1253396
11, P ,i,4455521,1592284,1539597,638470,495517,189653
14, P ,you,3354252,1532399,920083,538032,279422,84316
6, I ,in,7557934,1385889,1117519,1580617,1600390,1873519
8, V ,have,5335769,1369956,1275240,954391,1012197,723985
10, P ,it,4194790,1308873,1014229,742514,681594,447580
12, C ,that,3709830,1060065,483634,711691,627143,827297
18, V ,do,2800961,1030761,692713,432729,403634,241124
24, P ,we,1973643,865359,332798,305341,280923,189222
20, D ,this,2047852,736448,308574,316993,275459,410378
13, I ,for,3564803,670859,535048,788184,799229,771483
15, P ,he,3138899,661647,1204627,475466,614726,182433
21, P ,they,2014769,658475,391214,335742,361264,268074
17, I ,on,2703486,549302,545540,570032,553369,485243
35, V ,go,1251786,538509,310771,165708,185302,51496
29, X ,n't,1744284,529586,581365,299024,289779,44530
16, I ,with,2911620,514309,575927,662172,578339,580873
23, C ,but,1933747,500430,451440,381972,374387,225518
34, D ,what,1283090,496222,319613,186548,157520,123187
19, V ,say,2077536,467020,514458,331793,682497,81768
28, X ,not,1771490,442938,347150,296541,300958,383903
47, V ,know,974670,429378,264900,118156,104375,57861
56, V ,think,838695,423892,193081,88312,93525,39885
39, V ,get,1080432,389689,275602,188656,187778,38707
22, I ,at,1923946,335599,451667,402139,455463,279078
48, V ,will,1200441,333868,217537,248637,262533,137866
46, I ,about,952604,328762,178533,163092,163636,118581
55, R ,so,837971,319503,190097,143105,112513,72753
26, I ,from,1777279,310667,343529,384873,360752,377458
53, E ,there,846483,301556,155571,135904,139865,113587
62, N ,people,752220,299249,81767,128544,151649,91011
66, R ,just,741437,280966,179260,128843,113090,39278
40, C ,if,1011860,278863,233378,214308,165054,120257
37, V ,can,1106769,278415,177558,268509,183652,198635
