,Output_upper,Output_lower,Input,RANK,TOTAL
0,EPISODE,episode,"exalted, preteen, impeded, salient, outcast, drifter, esquire",2863,7
1,CERTAIN,certain,"comcast, entitle, rotting, teeming, annular, impeded, nonstop",577,7
2,INVADER,invader,"invades, nodding, vertigo, arbiter, dragnet, empress, remakes",10025,7
3,PERFORM,perform,"panache, eyeless, retrain, fibrous, orchids, redness, maestro",954,7
5,THEATER,theater,"tenancy, hinting, excised, abscond, tonnage, excused, royally",1540,7
7,CORRECT,correct,"crevice, october, respite, revolve, excites, chalice, theresa",1804,7
8,LITERAL,literal,"layover, invades, tequila, elation, retinal, abiding, lawless",7842,7
9,OUTPOST,outpost,"oratory, unquote, tilting, pelagic, orchids, saddest, teeming",9411,7
10,COMPACT,compact,"copilot, opulent, maestro, padlock, abiding, cupcake, trashed",6286,7
12,ARCHIVE,archive,"acetone, racists, cohabit, heather, impound, voiding, expanse",6608,7
13,FUNERAL,funeral,"fibrous, utopian, nitrate, estrada, riotous, abiding, loathed",2902,7
14,FOREVER,forever,"freemen, opulent, regalia, emerald, vertigo, empress, retrace",2093,7
15,COLLECT,collect,"cracker, outlast, lasagna, looting, excites, carpool, trundle",1322,7
16,DEPOSIT,deposit,"dracula, evicted, paragon, orlando, strayed, infidel, trundle",4736,7
17,CLICKER,clicker,"cheater, lenient, ignoble, comrade, knuckle, expunge, rummage",29271,7
19,MEASURE,measure,"manhood, equated, animism, synapse, untruth, redress, erasing",942,7
22,CLIMATE,climate,"cadaver, leashed, impious, manhood, acutely, twister, emerald",2115,7
23,PASSION,passion,"perched, ascetic, scrappy, spyware, infidel, onshore, nodding",2297,7
24,CENTRAL,central,"chateau, endgame, nascent, thrifty, relapse, alabama, looters",743,7
25,DEPOSIT,deposit,"devalue, evoking, pirated, outlast, spyware, insular, trashed",4736,7
26,TEACHER,teacher,"tenancy, elation, aqueous, chopper, hillary, expunge, robbing",371,7
27,APPLIED,applied,"aquifer, penance, palazzo, lampoon, infidel, earthen, dearest",6546,7
28,PERSONA,persona,"padlock, equinox, roaster, subtext, octopus, nonstop, amiable",7655,7
29,REALTOR,realtor,"robbers, erasing, archery, leakers, thumper, october, respite",19866,7
30,MEASURE,measure,"moaning, expunge, audited, strayed, unbound, roaster, edifice",942,7
