,Output_upper,Output_lower,Input,RANK,TOTAL
0,GUENTER,guenter,"grapple, undated, ennoble, newness, tonnage, envious, rooster",60001,7
1,FROMMER,frommer,"fatuous, riveted, outlast, maestro, marries, equinox, royally",60001,7
2,CARILLA,carilla,"cowlick, annuity, riskier, impasse, loathed, looting, aquifer",60001,7
3,AMSOUTH,amsouth,"affront, malaise, shivers, outlast, undoing, tabling, hoarded",60001,7
4,LESSENS,lessens,"lovable, endgame, snicker, shipper, equinox, naively, scripps",60001,7
5,FORAGES,forages,"fatuous, orchard, respite, abscond, gremlin, excites, surfeit",60001,7
6,LESSMAN,lessman,"legions, endgame, salient, stammer, manatee, abiding, nascent",60001,7
7,OUTMODE,outmode,"outlast, undress, tempest, marilyn, octopus, dearest, extrude",60001,7
8,GADDING,gadding,"gleeful, ascetic, drizzle, drizzle, incited, naively, gelatin",60001,7
10,MASKELL,maskell,"merited, awfully, shaming, keyhole, evading, liturgy, leaping",60001,7
11,DEMARIO,demario,"dueling, eyeless, moaning, aimless, rectify, invades, october",60001,7
12,PORTNER,portner,"pushers, october, robbing, taunted, newness, eyesore, repress",60001,7
14,PROCIDA,procida,"payback, reentry, octopus, clotted, ironing, deposed, anagram",60001,7
15,EARWOOD,earwood,"edifice, abscond, rotting, whining, october, outlast, dearest",60001,7
16,KOETHER,koether,"knuckle, orifice, endgame, taunted, hapless, echelon, reaping",60001,7
17,LABELLE,labelle,"liberte, affixed, betamax, equated, leaping, latinos, equated",60001,7
18,FORMATO,formato,"freemen, octopus, reprise, moaning, alaskan, torched, outback",60001,7
19,ELLETTE,ellette,"eyeless, limping, luckier, equator, typhoon, thrills, esquire",60001,7
20,GENSTAR,genstar,"greased, elation, neptune, sandman, tenancy, asunder, ranting",60001,7
21,ORFIELD,orfield,"onetime, redress, fulsome, impetus, eyeless, layover, drifter",60001,7
22,INSCORE,inscore,"invader, neptune, saddest, capsize, onetime, replete, expanse",60001,7
23,MAINERS,mainers,"manhole, aimless, incited, nodding, eyeless, rebecca, savaged",60001,7
24,CELLNET,cellnet,"chalice, enclose, legible, latinos, nodding, erasing, typhoon",60001,7
25,SWINGLE,swingle,"seattle, whaling, impious, newness, greased, lagging, emblems",60001,7
26,BAINTER,bainter,"braised, alaskan, ironing, naively, turnkey, excused, roaster",60001,7
27,HAERING,haering,"herding, airhead, enclose, raisins, invades, nonstop, goading",60001,7
28,FORMATO,formato,"finnish, outcast, reissue, misfits, aplenty, tonnage, orifice",60001,7
29,RANDOLF,randolf,"respite, alimony, needled, dracula, oblique, latinos, fulsome",60001,7
30,RAETHER,raether,"repress, ageless, excised, tilting, hoarded, evading, repress",60001,7
31,REFUTES,refutes,"replete, equator, fibrous, unsound, tribune, echelon, skyward",60001,7
32,SHARELL,sharell,"scruffy, hogwash, aimless, riveted, equated, lagging, looting",60001,7
33,GUENTER,guenter,"grizzly, untaxed, earthen, nodding, tilting, endgame, roaster",60001,7
34,WAUTERS,wauters,"whining, aquifer, uptight, tenable, equator, redress, swamped",60001,7
35,BARITES,barites,"brocade, airhead, reissue, impetus, tempest, excised, sunburn",60001,7
36,KLAPPER,klapper,"keyless, loathed, atheism, pliable, peaches, excused, rebecca",60001,7
37,SIMISON,simison,"synapse, impious, moniker, impious, sandman, orifice, naively",60001,7
