,A,B,C,D,screen,n_on,n_off,n_und
0,on,on,on,on,on,5,0,0
1,on,on,on,on,und,4,0,1
2,on,on,on,off,on,4,1,0
3,on,on,on,off,und,3,1,1
4,on,on,on,und,on,4,0,1
5,on,on,on,und,und,3,0,2
6,on,on,off,on,on,4,1,0
7,on,on,off,on,und,3,1,1
8,on,on,off,off,on,3,2,0
9,on,on,off,off,und,2,2,1
10,on,on,off,und,on,3,1,1
11,on,on,off,und,und,2,1,2
12,on,on,und,on,on,4,0,1
13,on,on,und,on,und,3,0,2
14,on,on,und,off,on,3,1,1
15,on,on,und,off,und,2,1,2
16,on,on,und,und,on,3,0,2
17,on,on,und,und,und,2,0,3
18,on,off,on,on,on,4,1,0
19,on,off,on,on,und,3,1,1
20,on,off,on,off,on,3,2,0
21,on,off,on,off,und,2,2,1
22,on,off,on,und,on,3,1,1
23,on,off,on,und,und,2,1,2
24,on,off,off,on,on,3,2,0
25,on,off,off,on,und,2,2,1
26,on,off,off,off,on,2,3,0
27,on,off,off,off,und,1,3,1
28,on,off,off,und,on,2,2,1
29,on,off,off,und,und,1,2,2
30,on,off,und,on,on,3,1,1
31,on,off,und,on,und,2,1,2
32,on,off,und,off,on,2,2,1
33,on,off,und,off,und,1,2,2
34,on,off,und,und,on,2,1,2
35,on,off,und,und,und,1,1,3
36,on,und,on,on,on,4,0,1
37,on,und,on,on,und,3,0,2
38,on,und,on,off,on,3,1,1
39,on,und,on,off,und,2,1,2
40,on,und,on,und,on,3,0,2
41,on,und,on,und,und,2,0,3
42,on,und,off,on,on,3,1,1
43,on,und,off,on,und,2,1,2
44,on,und,off,off,on,2,2,1
45,on,und,off,off,und,1,2,2
46,on,und,off,und,on,2,1,2
47,on,und,off,und,und,1,1,3
48,on,und,und,on,on,3,0,2
49,on,und,und,on,und,2,0,3
50,on,und,und,off,on,2,1,2
51,on,und,und,off,und,1,1,3
52,on,und,und,und,on,2,0,3
53,on,und,und,und,und,1,0,4
54,off,on,on,on,on,4,1,0
55,off,on,on,on,und,3,1,1
56,off,on,on,off,on,3,2,0
57,off,on,on,off,und,2,2,1
58,off,on,on,und,on,3,1,1
59,off,on,on,und,und,2,1,2
60,off,on,off,on,on,3,2,0
61,off,on,off,on,und,2,2,1
62,off,on,off,off,on,2,3,0
63,off,on,off,off,und,1,3,1
64,off,on,off,und,on,2,2,1
65,off,on,off,und,und,1,2,2
66,off,on,und,on,on,3,1,1
67,off,on,und,on,und,2,1,2
68,off,on,und,off,on,2,2,1
69,off,on,und,off,und,1,2,2
70,off,on,und,und,on,2,1,2
71,off,on,und,und,und,1,1,3
72,off,off,on,on,on,3,2,0
73,off,off,on,on,und,2,2,1
74,off,off,on,off,on,2,3,0
75,off,off,on,off,und,1,3,1
76,off,off,on,und,on,2,2,1
77,off,off,on,und,und,1,2,2
78,off,off,off,on,on,2,3,0
79,off,off,off,on,und,1,3,1
80,off,off,off,off,on,1,4,0
81,off,off,off,off,und,0,4,1
82,off,off,off,und,on,1,3,1
83,off,off,off,und,und,0,3,2
84,off,off,und,on,on,2,2,1
85,off,off,und,on,und,1,2,2
86,off,off,und,off,on,1,3,1
87,off,off,und,off,und,0,3,2
88,off,off,und,und,on,1,2,2
89,off,off,und,und,und,0,2,3
90,off,und,on,on,on,3,1,1
91,off,und,on,on,und,2,1,2
92,off,und,on,off,on,2,2,1
93,off,und,on,off,und,1,2,2
94,off,und,on,und,on,2,1,2
95,off,und,on,und,und,1,1,3
96,off,und,off,on,on,2,2,1
97,off,und,off,on,und,1,2,2
98,off,und,off,off,on,1,3,1
99,off,und,off,off,und,0,3,2
100,off,und,off,und,on,1,2,2
101,off,und,off,und,und,0,2,3
102,off,und,und,on,on,2,1,2
103,off,und,und,on,und,1,1,3
104,off,und,und,off,on,1,2,2
105,off,und,und,off,und,0,2,3
106,off,und,und,und,on,1,1,3
107,off,und,und,und,und,0,1,4
108,und,on,on,on,on,4,0,1
109,und,on,on,on,und,3,0,2
110,und,on,on,off,on,3,1,1
111,und,on,on,off,und,2,1,2
112,und,on,on,und,on,3,0,2
113,und,on,on,und,und,2,0,3
114,und,on,off,on,on,3,1,1
115,und,on,off,on,und,2,1,2
116,und,on,off,off,on,2,2,1
117,und,on,off,off,und,1,2,2
118,und,on,off,und,on,2,1,2
119,und,on,off,und,und,1,1,3
120,und,on,und,on,on,3,0,2
121,und,on,und,on,und,2,0,3
122,und,on,und,off,on,2,1,2
123,und,on,und,off,und,1,1,3
124,und,on,und,und,on,2,0,3
125,und,on,und,und,und,1,0,4
126,und,off,on,on,on,3,1,1
127,und,off,on,on,und,2,1,2
128,und,off,on,off,on,2,2,1
129,und,off,on,off,und,1,2,2
130,und,off,on,und,on,2,1,2
131,und,off,on,und,und,1,1,3
132,und,off,off,on,on,2,2,1
133,und,off,off,on,und,1,2,2
134,und,off,off,off,on,1,3,1
135,und,off,off,off,und,0,3,2
136,und,off,off,und,on,1,2,2
137,und,off,off,und,und,0,2,3
138,und,off,und,on,on,2,1,2
139,und,off,und,on,und,1,1,3
140,und,off,und,off,on,1,2,2
141,und,off,und,off,und,0,2,3
142,und,off,und,und,on,1,1,3
143,und,off,und,und,und,0,1,4
144,und,und,on,on,on,3,0,2
145,und,und,on,on,und,2,0,3
146,und,und,on,off,on,2,1,2
147,und,und,on,off,und,1,1,3
148,und,und,on,und,on,2,0,3
149,und,und,on,und,und,1,0,4
150,und,und,off,on,on,2,1,2
151,und,und,off,on,und,1,1,3
152,und,und,off,off,on,1,2,2
153,und,und,off,off,und,0,2,3
154,und,und,off,und,on,1,1,3
155,und,und,off,und,und,0,1,4
156,und,und,und,on,on,2,0,3
157,und,und,und,on,und,1,0,4
158,und,und,und,off,on,1,1,3
159,und,und,und,off,und,0,1,4
160,und,und,und,und,on,1,0,4
161,und,und,und,und,und,0,0,5
